Start Time,Text
00:00:01,얘들아 밥먹어
00:00:03,얘들아?
00:00:07,잠시만
00:00:09,얘들아!
00:00:14,"얘들아, 어서 내려와"
00:00:17,왜 위층까지 소리 지르고 그러세요?
00:00:20,- 그냥 문자로 말하면 되지 - 그럴일은 없을거야
00:00:23,"- 와, 너 그 치마 못입어 - 치마가 왜요?"
00:00:25,"여보, 딸의 치마에 대해 한 마디 해주지 않을래? / 알았어"
00:00:30,이쁘구나
00:00:31,"- 고마워요 - 아니, 너무 짧잖아"
00:00:34,사람들 다 네가 여자인거 알아 굳이 증명해 보일 필요 없어
00:00:36,루크가 또 2층 난간에 꼇어요
00:00:39,내가 볼께
00:00:43,모르겠어 자기가 알아서 찾아봐
00:00:48,제가 어릴땐..
00:00:49,완전 통제 불능 이었어요
00:00:54,제가 어릴때 저질렀던 실수들을 내 아이들이 반복하지 않길 바래요
00:00:58,헤일리가 플로리다 해변에서 반라로 일어나는 일이 없다면
00:01:02,난 내 할 일을 다 한거죠
00:01:03,우리의 할 일
00:01:05,그래
00:01:06,난 우리의 일을 다 한거죠
00:01:08,"그래, 매니! 차 버려! 차 버려!"
00:01:12,"매니, 잘한다!"
00:01:14,오른쪽으로! 오른쪽으로! 아냐!!
00:01:16,그건 아니지!
00:01:18,"저 녀석이 찼잖아요, 제이 왜 패널티를 안주는거야!"
00:01:20,글로리아 진정해 6-0으로 이기고 있잖아
00:01:24,우린 서로 아주 달라요
00:01:26,제이는 대도시에서 큰 사업을 했고
00:01:30,전 조그만 마을 출신이죠
00:01:33,아주 작은 마을 이었지만 아주 아주 아름다웠어요
00:01:35,콜롬비아에서 최고로 아름다운 마을 이었어요
00:01:41,"네, 살인마들"
00:01:43,"매니, 쟤 좀 막아!"
00:01:45,저 꼬맹이를 막으라고!
00:01:52,"젠장, 매니!"
00:01:53,"감독님, 저 꼬마 좀 빼요 제발"
00:01:56,우리애를 빼자고?
00:01:58,"- 내가 당신을 빼버리면 어떨까? - 여보, 여보"
00:02:00,당신네 아들이나 신경쓰지!
00:02:02,전반전 내내 바지에 손넣고 있던데?
00:02:08,저도 6주 동안이나 저 여자 좀 없어졌으면 했어요
00:02:12,전 조쉬 입니다 라이언의 아빠죠
00:02:14,전 글로리아 프리쳇이에요 매니의 엄마입니다
00:02:17,- 저 분은 그쪽 아버님이세요? - 아버님?
00:02:20,저는 남편입니다 헷갈리지 마요
00:02:24,잠시만요..
00:02:28,"우리 이쁜아기, 아빠가 누구야?"
00:02:31,"- 누가 아빠야? - 오, 너무 귀엽군요"
00:02:35,"- 고마워요 - 안녕, 요 앙증맞은 것"
00:02:37,"안녕하세요 하이, 하이"
00:02:40,막 베트남에서 입양 해 오는 길 이에요
00:02:43,집에 처음 가는거지? 응?
00:02:45,아이가 완전 천사군요 아내분도 좋아하시겠어요?
00:02:48,"미안, 미안, 미안 아빠 간식 좀 사왔어"
00:02:51,안녕하세요
00:02:57,무슨 대화 중 이었어?
00:02:59,우리가 사귄지가 음..
00:03:01,5년정도 됐나?
00:03:03,아이를 원한지는 얼마 되지 않았어요
